,url,book_id,title,author,good_read_score,good_read_votes,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,award_count,place,Classics,Fiction,Young Adult,Novels,Literature,Science Fiction,Historical Fiction,Historical,Dystopia,Fantasy,Adventure,Coming Of Age,Victorian,Time Travel,Teen,Science Fiction Fantasy,Adult Fiction,Romance,Post Apocalyptic,American,Contemporary,Literary Fiction,Apocalyptic,Audiobook,British Literature,Action,European Literature,Classic Literature,19th Century
0,https://www.goodreads.com/book/show/2767052-the-hunger-games,2767052,The Hunger Games,Suzanne Collins,3076137,31348,4.32,175753,6700098,374,2008,True,"Young Adult, Fiction, Science Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure, Young Adult, Teen, Apocalyptic, Post Apocalyptic, Action","Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Dorothy Canfield Fisher Children's Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010)",41,"District 12, Panem, Capitol, Panem, Panem",False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False
1,https://www.goodreads.com/book/show/4473.A_Prayer_for_Owen_Meany,4473,A Prayer for Owen Meany,John Irving,209774,2309,4.23,14251,292336,637,1989,False,"Fiction, Classics, Contemporary, Literature, Novels, Literary Fiction, Historical, Historical Fiction, Young Adult, Coming Of Age, Adult Fiction, Literature, American",,0,"Gravesend, New Hampshire, Toronto, Ontario",True,True,True,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False
2,https://www.goodreads.com/book/show/58696.David_Copperfield,58696,David Copperfield,Charles Dickens,73190,963,4.0,7051,205407,882,1850,False,"Classics, Fiction, Literature, Historical, Historical Fiction, Literature, 19th Century, Novels, European Literature, British Literature, Classics, Classic Literature, Historical, Victorian, Audiobook",Audie Award Nominee for Fiction of Nonfiction Licenses or Distributed for Martin Jarvis (2003),1,"Blunderstone, England, Great Yarmouth, England, London, England, Dover, Kent, England, Canterbury, Kent, England",True,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True
3,https://www.goodreads.com/book/show/2493.The_Time_Machine,2493,The Time Machine,H.G. Wells,43561,608,3.89,11714,433424,118,1895,False,"Classics, Science Fiction, Fiction, Science Fiction, Time Travel, Fantasy, Science Fiction, Dystopia, Science Fiction Fantasy, Literature, Adventure, Novels",,0,"United Kingdom, London, England, England",True,True,False,True,True,True,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
