,url,book_id,title,author,good_read_score,good_read_votes,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,award_count,place,Classics,Young Adult,Fiction,Novels,Literature,Poetry,Mental Health,Mystery,Nonfiction,Paranormal,Race,Psychology,Read For School,Realistic Fiction,School,Suspense,Teen,Thriller,Memoir,Academic,Adult,Historical Fiction,Historical,High School,Health,Feminism,Fantasy,Cultural,Contemporary,Coming Of Age,Biography Memoir,Biography,Banned Books,Autobiography,African American,Horror
0,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,2657,To Kill a Mockingbird,Harper Lee,2337207,23693,4.28,95315,4759597,324,1960,False,"Classics, Fiction, Historical, Historical Fiction, Academic, School, Literature, Young Adult, Historical, Novels, Academic, Read For School, Young Adult, High School","Pulitzer Prize for Fiction (1961), Audie Award for Classic (2007), National Book Award Finalist for Fiction (1961), Alabama Author Award for Fiction (1961)",4,"Maycomb, Alabama, Alabama",True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings,13214,I Know Why the Caged Bird Sings,Maya Angelou,141034,1726,4.25,11888,436271,289,1969,True,"Nonfiction, Classics, Autobiography, Memoir, Biography, Biography, Autobiography, Poetry, Feminism, Cultural, African American, Biography Memoir, Race",Coretta Scott King Book Award for Author Honor (1971),1,"Arkansas, Louisiana, California, Missouri",True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,True,True,False
2,https://www.goodreads.com/book/show/46799.Go_Ask_Alice,46799,Go Ask Alice,Beatrice Sparks,42070,533,3.76,10987,243241,213,1971,False,"Young Adult, Fiction, Classics, Contemporary, Realistic Fiction, Young Adult, Teen, Health, Mental Health, Literature, Banned Books, Young Adult, Coming Of Age, Psychology",,0,United States of America,True,True,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False
3,https://www.goodreads.com/book/show/11588.The_Shining,11588,The Shining,Stephen King,22255,319,4.24,26947,1185892,659,1977,True,"Horror, Fiction, Thriller, Classics, Fantasy, Mystery, Fantasy, Paranormal, Suspense, Novels, Adult","Locus Award Nominee for Best Fantasy Novel (1978), Gandalf Award Nominee (1978)",2,Colorado,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
