url,book_id,title,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place
https://www.goodreads.com/book/show/31122.I_Capture_the_Castle,,I Capture the Castle,Dodie Smith,4.0,88007,88007,408.0,1948.0,False,"Classics, Fiction, Young Adult, Historical, Historical Fiction, Romance, Young Adult, Coming Of Age, Historical, European Literature, British Literature, Novels, Adult Fiction","(0, nan)","Suffolk, England, Godsend Castle, Suffolk, England"
https://www.goodreads.com/book/show/41014505-the-bronze-horseman,,The Bronze Horseman,Paullina Simons,4.3,69495,69495,912.0,2000.0,True,"Historical, Historical Fiction, Romance, Historical, Romance, Historical Romance, Fiction, War, Cultural, Russia, Adult, War, World War II, Adult Fiction","(0, nan)","Leningrad, USSR, Russia"
https://www.goodreads.com/book/show/17333223-the-goldfinch,,The Goldfinch,Donna Tartt,3.92,756944,756944,771.0,2013.0,False,"Fiction, Contemporary, Literary Fiction, Audiobook, Art, Adult, Novels, Adult Fiction, Mystery, Literature","(7, ""Pulitzer Prize for Fiction (2014), Audie Award for Literary Fiction (2014), National Book Critics Circle Award Nominee for Fiction (2013), Australian Book Industry Award (ABIA) Nominee for International Book (2014), Women's Prize for Fiction Nominee (2014), Andrew Carnegie Medal for Fiction (2014), Goodreads Choice Award Nominee for Fiction (2013)"")","Amsterdam, Las Vegas, Nevada, New York City, New York, New York City's Upper East Side"
https://www.goodreads.com/book/show/92307.Being_and_Time,,Being and Time,Martin Heidegger,4.03,20887,20887,589.0,1927.0,False,"Philosophy, Nonfiction, Classics, European Literature, German Literature, Psychology, Science, Philosophy, Theory, Academic, Cultural, Germany, Literature, 20th Century","(0, nan)",
https://www.goodreads.com/book/show/179064.The_Goose_Girl,,The Goose Girl,Shannon Hale,4.1,140008,140008,383.0,2003.0,True,"Fantasy, Young Adult, Fantasy, Fairy Tales, Romance, Fiction, Retellings, Childrens, Middle Grade, Adventure, Childrens, Young Adult, Young Adult Fantasy","(4, ""Mythopoeic Fantasy Award Nominee for Children's Literature (2010), Utah Book Award for Children/Young Adults (2003), Josette Frank Award (2004), Waterstones Children's Book Prize Nominee (2005)"")",
https://www.goodreads.com/book/show/29908754-the-zombie-room,,The Zombie Room,R.D. Ronald,4.17,76126,76126,241.0,2012.0,False,"Thriller, Fiction, Mystery, Mystery, Crime, Drama, Suspense, Novels, Dark, Contemporary, Adult Fiction","(0, nan)",
https://www.goodreads.com/book/show/77566.Hyperion,,Hyperion,Dan Simmons,4.23,198847,198847,482.0,1989.0,True,"Science Fiction, Fiction, Fantasy, Space, Space Opera, Science Fiction Fantasy, Audiobook, Science Fiction, Time Travel, Horror, Space, Novels","(10, 'Hugo Award for Best Novel (1990), Locus Award for Best Science Fiction Novel (1990), Arthur C. Clarke Award Nominee (1992), British Science Fiction Association Award Nominee for Best Novel (1992), Premio Ignotus for Novela (1991), SF Chronicle Award Nominee for Best Novel (1990), Tähtivaeltaja Award (1998), Chesley Award Nominee for Hardback cover (2013), Prix Cosmos 2000 (1992), Seiun Award 星雲賞 for Best Foreign Novel (1995)')",
https://www.goodreads.com/book/show/1625.Twelfth_Night,,Twelfth Night,William Shakespeare,3.98,159339,159339,272.0,1601.0,False,"Classics, Plays, Drama, Fiction, Academic, School, Romance, Plays, Theatre, Literature, Poetry, Academic, Read For School","(0, nan)",Illyria
https://www.goodreads.com/book/show/40909452-drums-of-autumn,,Drums of Autumn,Diana Gabaldon,4.32,216842,216842,928.0,1996.0,True,"Historical, Historical Fiction, Romance, Fantasy, Fiction, Science Fiction, Time Travel, Historical, Romance, Historical Romance, Audiobook, Adult, Adventure","(1, 'All About Romance (AAR) Annual Reader Poll for Favorite ""Other"" Romance & Honorable Mention for Favorite Couple (1998)')","Boston, Massachusetts, Charleston, South Carolina, Fraser's Ridge, North Carolina, Cross Creek, North Carolina, Oxford, England, Inverness, Scotland, Scottish Highlands"
https://www.goodreads.com/book/show/40611510-the-last-lecture,,The Last Lecture,Randy Pausch,4.25,314441,314441,217.0,2008.0,False,"Nonfiction, Autobiography, Memoir, Biography, Self Help, Inspirational, Philosophy, Biography, Autobiography, Biography Memoir, Audiobook, Adult","(1, 'Audie Award for Biography/Memoir (2009)')",
