url,book_id,title,award_count,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place
https://www.goodreads.com/book/show/2493.The_Time_Machine,2493,The Time Machine,,H.G. Wells,3.89,432298.0,432298.0,118.0,1895.0,False,"Classics, Science Fiction, Fiction, Science Fiction, Time Travel, Fantasy, Science Fiction, Dystopia, Science Fiction Fantasy, Literature, Adventure, Novels",0,"United Kingdom, London, England, England"
https://www.goodreads.com/book/show/29579.Foundation,29579,Foundation,,Isaac Asimov,4.17,429438.0,429438.0,244.0,1951.0,True,"Science Fiction, Fiction, Classics, Science Fiction Fantasy, Fantasy, Space, Space Opera, Novels, Space, Audiobook, Speculative Fiction",0,
https://www.goodreads.com/book/show/39662.Different_Seasons,39662,Different Seasons,1.0,Stephen King,4.34,183593.0,183593.0,560.0,1982.0,False,"Horror, Fiction, Short Stories, Thriller, Mystery, Fantasy, Drama, Suspense, Classics, Anthologies",World Fantasy Award Nominee for Best Anthology/Collection (1982),
https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore,4929,Kafka on the Shore,7.0,Haruki Murakami,4.13,330347.0,330347.0,467.0,2002.0,False,"Fiction, Magical Realism, Fantasy, Cultural, Japan, Asian Literature, Japanese Literature, Contemporary, Novels, Literature, Literary Fiction, Cultural, Asia","World Fantasy Award for Best Novel (2006), Los Angeles Times Book Prize Nominee for Fiction (2005), Independent Foreign Fiction Prize Nominee for Longlist (2006), PEN Translation Prize for Philip Gabriel (2006), Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2005), Tähtifantasia Award (2010), Βραβείο Βιβλίου Public for Μεταφρασμένο μυθιστόρημα της χρονιάς (Translator: Αργυρώ Μαντόγλου) (2016)",Takamatsu
https://www.goodreads.com/book/show/4687.The_Cider_House_Rules,4687,The Cider House Rules,,John Irving,4.14,165343.0,165343.0,973.0,1985.0,False,"Fiction, Classics, Historical, Historical Fiction, Literature, Literary Fiction, Novels, Contemporary, Literature, American, Adult Fiction, Historical",0,"Three Mile Falls, Maine, St. Cloud's, Maine, Maine"
https://www.goodreads.com/book/show/93.Heidi,93,Heidi,,Johanna Spyri,3.99,177489.0,177489.0,352.0,1880.0,True,"Classics, Fiction, Childrens, Young Adult, Historical, Historical Fiction, Childrens, Middle Grade, Historical, Childrens, Childrens Classics, Childrens, Juvenile, Literature, 19th Century",0,Switzerland
https://www.goodreads.com/book/show/8755776-city-of-lost-souls,8755776,City of Lost Souls,1.0,Cassandra Clare,4.25,451161.0,451161.0,546.0,,True,"Fantasy, Young Adult, Romance, Fantasy, Paranormal, Fantasy, Urban Fantasy, Paranormal, Vampires, Paranormal, Angels, Fiction, Fantasy, Supernatural, Fantasy, Magic",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012),"New York City, New York, Venice, Prague (Praha), Paris, Ireland"
https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury,17927395,A Court of Mist and Fury,1.0,Sarah J. Maas,4.61,417284.0,417284.0,626.0,,True,"Fairies, Fae, Young Adult, Young Adult Fantasy, Audiobook, Romance, Fantasy Romance, Paranormal, Fairies, Adult, Romance, Paranormal Romance, Fantasy, Science Fiction Fantasy, Action",Goodreads Choice Award for Young Adult Fantasy & Science Fiction (2016) and Nominee for Best of the Best  (2018),
https://www.goodreads.com/book/show/37732.Are_You_There_God_It_s_Me_Margaret,37732,"Are You There God? It's Me, Margaret",4.0,Judy Blume,3.9,196569.0,196569.0,149.0,1970.0,False,"Young Adult, Fiction, Childrens, Classics, Childrens, Middle Grade, Young Adult, Coming Of Age, Realistic Fiction, Contemporary, Literature, Banned Books, Childrens, Juvenile","Young Hoosier Book Award (1976), Nene Award (1975), North Dakota Children's Choice Award (1979), Golden Archer Award (1974)","New York City, New York, Farbrook, New Jersey, New Jersey"
https://www.goodreads.com/book/show/10959.Sophie_s_World,10959,Sophie's World,8.0,Jostein Gaarder,3.94,211660.0,211660.0,403.0,1991.0,False,"Philosophy, Fiction, Classics, Young Adult, Novels, Fantasy, Literature, Contemporary, Unfinished, European Literature, Scandinavian Literature","Buxtehuder Bulle (1996), Premio Bancarella (1995), Deutscher Jugendliteraturpreis for Jugendbuch (1994), Prix des libraires du Québec for Lauréats hors Québec (1996), دار المنى, Literaturpreis der Jury der jungen Leser for Jugendbuch (1997), Premio San Clemente for Novela Estranxeira (1996), Prime Minister of Pakistan's Award for Literature",
https://www.goodreads.com/book/show/16902.Walden,16902,Walden,,Henry David Thoreau,3.78,166289.0,166289.0,352.0,1854.0,False,"Classics, Philosophy, Nonfiction, Environment, Nature, Autobiography, Memoir, Literature, Biography, Writing, Essays, Literature, American, Environment",0,"United States of America, Concord, Massachusetts"
https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,1215032,The Wise Man's Fear,5.0,Patrick Rothfuss,4.54,452359.0,452359.0,994.0,,True,"Fantasy, Fiction, Fantasy, Epic Fantasy, Fantasy, High Fantasy, Fantasy, Magic, Science Fiction Fantasy, Adventure, Audiobook, Adult, Epic","Locus Award Nominee for Best Fantasy Novel (2012), David Gemmell Legend Award for Best Fantasy Novel (2012), Tähtifantasia Award Nominee (2016), Goodreads Choice Award Nominee for Best Fantasy and for Favorite Book (2011), Prix Elbakin.net for Meilleur roman fantasy traduit (2013)",
https://www.goodreads.com/book/show/16068905-fangirl,16068905,Fangirl,5.0,Rainbow Rowell,4.03,613642.0,613642.0,483.0,,False,"Young Adult, Contemporary, Romance, Fiction, Realistic Fiction, New Adult, Audiobook, Young Adult, Coming Of Age, Womens Fiction, Chick Lit, Young Adult, Young Adult Contemporary","Milwaukee County Teen Book Award Nominee (2015), The Inky Awards Nominee for Silver Inky (2015), Lincoln Award Nominee (2016), Goodreads Choice Award Nominee for Young Adult Fiction (2013), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)","Lincoln, Nebraska, Omaha, Nebraska"
https://www.goodreads.com/book/show/9520360-the-son-of-neptune,9520360,The Son of Neptune,2.0,Rick Riordan,4.42,442504.0,442504.0,513.0,,True,"Fantasy, Young Adult, Fantasy, Mythology, Fiction, Childrens, Middle Grade, Adventure, Childrens, Mythology, Greek Mythology, Fantasy, Urban Fantasy, Young Adult, Young Adult Fantasy","Buckeye Children's Book Award for 6-8 (2012), Goodreads Choice Award for Middle Grade & Children's and Nominee for Favorite Book (2011)","Oakland, California, Alaska, Portland, Oregon, Seattle, Washington, Berkeley, California, North Vancouver, British Columbia, Anchorage, Alaska, Seward, Alaska"
https://www.goodreads.com/book/show/58345.The_Awakening,58345,The Awakening,,Kate Chopin,3.66,175663.0,175663.0,195.0,1899.0,False,"Classics, Fiction, Feminism, Academic, School, Literature, Historical, Historical Fiction, Academic, Read For School, Young Adult, High School, Novels, Literature, American",0,"New Orleans, Louisiana, Grand Isle, Louisiana"
https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,6334,Never Let Me Go,8.0,Kazuo Ishiguro,3.83,506742.0,506742.0,288.0,2005.0,False,"Fiction, Science Fiction, Science Fiction, Dystopia, Contemporary, Literary Fiction, Novels, Adult, Romance, Literature, European Literature, British Literature","Booker Prize Nominee (2005), Locus Award Nominee for Best SF Novel (2006), Arthur C. Clarke Award Nominee (2006), James Tait Black Memorial Prize Nominee for Fiction (2005), ALA Alex Award (2006), National Book Critics Circle Award Nominee for Fiction (2005), Corine Internationaler Buchpreis for Belletristik (2006), International Dublin Literary Award Nominee (2007)","Hailsham, Norfolk, England, The Cottages, Kingsfield"
https://www.goodreads.com/book/show/40937505,40937505,زندگی مه آلود پریا,,سید مرتضی مصطفوی,3.92,961.0,961.0,204.0,,False,Fiction,0,
https://www.goodreads.com/book/show/228560.Sophie_s_Choice,228560,Sophie's Choice,2.0,William Styron,4.18,83344.0,83344.0,562.0,1979.0,False,"Fiction, Classics, Historical, Historical Fiction, World War II, Holocaust, War, Historical, War, World War II, Literature, Novels, Literary Fiction","National Book Award for Fiction (Hardcover) (1980), National Book Critics Circle Award Nominee for Fiction (1979)","Brooklyn, New York City, New York, Flatbush, Brooklyn, New York"
https://www.goodreads.com/book/show/7260188-mockingjay,7260188,Mockingjay,5.0,Suzanne Collins,4.05,2472484.0,2472484.0,398.0,,True,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure, Young Adult, Teen, Apocalyptic, Post Apocalyptic, Audiobook","Locus Award Nominee for Best Young Adult Book (2011), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2011), Andre Norton Award Nominee (2010), DABWAHA Romance Tournament for Best Young Adult Romance (2011), Goodreads Choice Award for Favorite Book and for Young Adult Fantasy (2010)","District 13, Panem, District 12, Panem, Capitol, Panem, Panem"
https://www.goodreads.com/book/show/9969571-ready-player-one,9969571,Ready Player One,11.0,Ernest Cline,4.25,927455.0,927455.0,374.0,,True,"Science Fiction, Fiction, Young Adult, Fantasy, Science Fiction, Dystopia, Audiobook, Adventure, Science Fiction Fantasy, Adult, Science Fiction, Cyberpunk","Locus Award Nominee for Best First Novel (2012), John W. Campbell Memorial Award Nominee (2012), Prometheus Award for Best Novel (2012), ALA Alex Award (2012), Lincoln Award Nominee (2014), Tähtivaeltaja Award Nominee (2013), Mary Shelley Award for Outstanding Fictional Work (2016), Premi Ictineu for Millor novel·la traduïda (2017), Goodreads Choice Award Nominee for Science Fiction and for Favorite Book (2011), Green Mountain Book Award Nominee (2015), Seiun Award 星雲賞 Nominee for Best Translated Novel (2015)","Columbus, Ohio, Oklahoma City, Oklahoma"
