url,book_id,title,award_count,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place
https://www.goodreads.com/book/show/36576608-flowers-for-algernon,36576608.0,Flowers for Algernon,3.0,Daniel Keyes,4.15,505511.0,505511.0,216.0,1959.0,False,"Fiction, Classics, Science Fiction, Young Adult, Literature, Psychology, Academic, School, Novels, Adult, Academic, Read For School","Hugo Award Nominee for Best Novel (1967), Nebula Award for Best Novel (tie) (1966), Locus Award Nominee for All-Time Best Novel (36th in poll) (1975)","New York City, New York, New York State, United States of America"
https://www.goodreads.com/book/show/485894.The_Metamorphosis,485894.0,The Metamorphosis,,Franz Kafka,3.83,693107.0,693107.0,201.0,1915.0,False,"Classics, Fiction, Fantasy, Literature, Philosophy, Short Stories, Academic, School, European Literature, German Literature, Horror, Novels",0,
https://www.goodreads.com/book/show/99561.Looking_for_Alaska,99561.0,Looking for Alaska,12.0,John Green,4.01,1177593.0,1177593.0,221.0,2005.0,False,"Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Young Adult, Coming Of Age, Young Adult, Teen, Mystery, Young Adult, Young Adult Contemporary, Young Adult, High School","Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005), Michael L. Printz Award (2006), Rhode Island Teen Book Award Nominee (2007), Michigan Library Association Thumbs Up! Award Nominee (2006), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008), The Inky Awards for Silver Inky (2007), Lincoln Award Nominee (2009), Bronzener Lufti (2007), Green Mountain Book Award (2008), The Inky Awards Shortlist for Silver Inky (2007), Alabama Author Award for Young Adult (2006), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)",Alabama
https://www.goodreads.com/book/show/70401.On_the_Road,70401.0,On the Road,1.0,Jack Kerouac,3.62,361420.0,361420.0,307.0,1955.0,False,"Classics, Fiction, Travel, Literature, Novels, Literature, American, Adventure, Literature, 20th Century, Unfinished, Classics, Modern Classics",Grammy Award Nominee for Best Spoken Word Album (2001),
https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,1618.0,The Curious Incident of the Dog in the Night-Time,15.0,Mark Haddon,3.89,1245076.0,1245076.0,226.0,2003.0,False,"Fiction, Mystery, Young Adult, Contemporary, Novels, Classics, Psychology, Literature, Realistic Fiction, Academic, School","Booker Prize Nominee for Longlist (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Whitbread Award for Novel and Book of the Year (2003), Guardian Children's Fiction Prize (2003), McKitterick Prize (2004), Los Angeles Times Book Prize for Art Seidenbaum Award for First Fiction (2003), Exclusive Books Boeke Prize (2004), ALA Alex Award (2004), Zilveren Zoen (2004), Lincoln Award Nominee (2006), Commonwealth Writers' Prize for Best First Book Overall (2004), North East Teenage Book Award Nominee (2004), Carnegie Medal Nominee (2003), Dolly Gray Children's Literature Award (2004), Premi Protagonista Jove for Categoria 15-16 anys (2006)","Swindon, England, London, England, England"
https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind,1232.0,The Shadow of the Wind,9.0,Carlos Ruiz Zafón,4.27,495692.0,495692.0,487.0,2001.0,True,"Fiction, Historical, Historical Fiction, Mystery, Fantasy, Writing, Books About Books, Historical, Cultural, Spain, Magical Realism, European Literature, Spanish Literature, Gothic","Barry Award for Best First Novel (2005), Gumshoe Award Nominee for Best European Crime Novel (2005), Borders Original Voices Award for Fiction (2004), Dilys Award Nominee (2005), Humo's Gouden Bladwijzer (2006), Prix du Meilleur Livre Étranger for Roman (2004), Prix des libraires du Québec for Lauréats hors Québec (2005), One Book One San Diego (2015), Premi Llibreter de narrativa Nominee (2002)","Spain, Barcelona, Catalonia"
https://www.goodreads.com/book/show/4948.The_Very_Hungry_Caterpillar,4948.0,The Very Hungry Caterpillar,1.0,Eric Carle,4.28,418871.0,418871.0,26.0,1969.0,False,"Childrens, Picture Books, Childrens, Fiction, Classics, Animals, Food and Drink, Food, Number, Counting, Childrens, Storytime, Kids, Science, Mathematics",California Young Readers Medal Nominee for Primary (1976),
https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets,15881.0,Harry Potter and the Chamber of Secrets,7.0,J.K. Rowling,4.43,2904982.0,2904982.0,341.0,1998.0,True,"Fantasy, Young Adult, Fiction, Fantasy, Magic, Childrens, Childrens, Middle Grade, Adventure, Audiobook, Classics, Science Fiction Fantasy","Mythopoeic Fantasy Award for Children's Literature (2008), British Book Award (1999), Prijs van de Jonge Jury (2002), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006), Colorado Blue Spruce Young Adult Book Award (2008), Golden Archer Award for Middle/Junior High (2008), Nestlé Smarties Book Prize for 9–11 years (1998)","Hogwarts School of Witchcraft and Wizardry, Hogwarts School of Witchcraft and Wizardry, Hogwarts School of Witchcraft and Wizardry, Hogwarts School of Witchcraft and Wizardry"
https://www.goodreads.com/book/show/6900.Tuesdays_with_Morrie,6900.0,Tuesdays with Morrie,,Mitch Albom,4.12,818498.0,818498.0,210.0,1997.0,False,"Nonfiction, Autobiography, Memoir, Biography, Inspirational, Classics, Philosophy, Self Help, Contemporary, Adult, Biography Memoir",0,
https://www.goodreads.com/book/show/9717.The_Unbearable_Lightness_of_Being,9717.0,The Unbearable Lightness of Being,1.0,Milan Kundera,4.1,361459.0,361459.0,320.0,1984.0,False,"Fiction, Classics, Philosophy, Literature, Novels, European Literature, Czech Literature, Romance, Contemporary, Literary Fiction, Literature, 20th Century",Los Angeles Times Book Prize for Fiction (1984),"Prague (Praha), Zurich, Czech Republic"
https://www.goodreads.com/book/show/119073.The_Name_of_the_Rose,119073.0,The Name of the Rose,9.0,Umberto Eco,4.13,313294.0,313294.0,536.0,1980.0,False,"Fiction, Historical, Historical Fiction, Mystery, Classics, Historical, Literature, Mystery, Crime, European Literature, Italian Literature, Cultural, Italy, Novels","إمبيرتو, Premio Strega (1981), Los Angeles Times Book Prize Nominee for Fiction (1983), Edgar Award Nominee for Best Novel (1984), PEN Translation Prize for William Weaver (1984), Premio Anghiari (1981), Premio Il Libro dell'anno (1981), Prix Médicis Etranger (1982), このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1991)","Italian Benedictine monastery, Italy"
https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows,10365.0,Where the Red Fern Grows,2.0,Wilson Rawls,4.08,355253.0,355253.0,272.0,1961.0,False,"Classics, Fiction, Young Adult, Childrens, Animals, Historical, Historical Fiction, Childrens, Middle Grade, Academic, School, Realistic Fiction, Academic, Read For School","Massachusetts Children's Book Award (1987), North Dakota Children's Choice Award (1981)","Ozark Mountains, Oklahoma"
https://www.goodreads.com/book/show/22034.The_Godfather,22034.0,The Godfather,,Mario Puzo,4.36,352135.0,352135.0,448.0,1969.0,True,"Fiction, Classics, Mystery, Crime, Thriller, Historical, Historical Fiction, Mystery, Drama, Novels, Literature, Literature, American",0,"United States of America, New York State, Sicily"
https://www.goodreads.com/book/show/12296.The_Scarlet_Letter,12296.0,The Scarlet Letter,,Nathaniel Hawthorne,3.42,728598.0,728598.0,279.0,1850.0,False,"Classics, Fiction, Historical, Historical Fiction, Academic, School, Literature, Young Adult, High School, Academic, Read For School, Historical, Classics, Classic Literature, Literature, American",0,"Boston, Massachusetts, Massachusetts"
https://www.goodreads.com/book/show/168642.In_Cold_Blood,168642.0,In Cold Blood,1.0,Truman Capote,4.07,557711.0,557711.0,343.0,1965.0,False,"Nonfiction, Classics, Crime, True Crime, Mystery, Crime, Mystery, History, Thriller, Literature, Literature, American, Biography",Edgar Award for Best Fact Crime (1966),"Holcomb, Kansas"
