url,book_id,title,author,good_read_score,good_read_votes,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,award_count,place
https://www.goodreads.com/book/show/7669.Timeline,7669,Timeline,Michael Crichton,6478,86,3.85,4789,195517,489.0,1999,False,"Science Fiction, Fiction, Thriller, Science Fiction, Time Travel, Historical, Historical Fiction, Fantasy, Adventure, Historical, Science Fiction Fantasy, Suspense",,0,France
https://www.goodreads.com/book/show/30043.A_River_Runs_Through_it_and_Other_Stories,30043,A River Runs Through it and Other Stories,Norman Maclean,6476,91,4.18,1547,22769,217.0,1976,False,"Fiction, Short Stories, Classics, Literature, Environment, Nature, Historical, Historical Fiction, Literary Fiction, Westerns, Novels, Literature, American",,0,"Missoula, Montana"
https://www.goodreads.com/book/show/27822.Eugene_Onegin,27822,Eugene Onegin,Alexander Pushkin,6474,90,4.1,1444,53405,240.0,1833,False,"Classics, Poetry, Cultural, Russia, Fiction, Literature, Russian Literature, Literature, Literature, 19th Century, Romance, Novels, Academic, School",,0,"St. Petersburg, Russia, Russia, Moscow"
https://www.goodreads.com/book/show/2722413-evernight,2722413,Evernight,Claudia Gray,6466,87,3.64,3319,79050,327.0,2008,True,"Young Adult, Paranormal, Vampires, Fantasy, Fantasy, Paranormal, Romance, Romance, Paranormal Romance, Fantasy, Supernatural, Fantasy, Urban Fantasy, Fiction, Young Adult, Teen",,0,United States of America
https://www.goodreads.com/book/show/8652190-awakened,8652190,Awakened,P.C. Cast,6445,94,3.99,3223,130255,290.0,2011,True,"Young Adult, Paranormal, Vampires, Fantasy, Fantasy, Paranormal, Romance, Fantasy, Supernatural, Romance, Paranormal Romance, Fiction, Fantasy, Urban Fantasy, Fantasy, Magic",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book (2011),1,"Isle of Skye, Scotland, Tulsa, Oklahoma"
https://www.goodreads.com/book/show/2794.The_Crying_of_Lot_49,2794,The Crying of Lot 49,Thomas Pynchon,6436,81,3.69,4707,74979,152.0,1966,False,"Fiction, Classics, Literature, Novels, Literature, American, Mystery, Literary Fiction, Literature, 20th Century, Contemporary, The United States Of America",Rosenthal Family Foundation Award (1967),1,"California, Los Angeles, California"
https://www.goodreads.com/book/show/15760001-on-dublin-street,15760001,On Dublin Street,Samantha Young,6434,80,4.2,9344,173717,372.0,2012,True,"Romance, New Adult, Contemporary, Romance, Contemporary Romance, Adult, Adult Fiction, Erotica, Fiction, Womens Fiction, Chick Lit, Romance, Erotic Romance, Adult Fiction",Goodreads Choice Award Nominee for Romance and for Goodreads Author (2012),1,"Edinburgh, Scotland"
https://www.goodreads.com/book/show/21484.The_Winds_of_War,21484,The Winds of War,Herman Wouk,6428,95,4.36,1569,52678,896.0,1971,True,"Historical, Historical Fiction, Fiction, War, War, World War II, Historical, Classics, War, Military Fiction, Audiobook, Novels, Literature",,0,"Berlin, Washington, D.C., Hawaii, Germany, Italy, Atlantic Ocean, Pearl Harbor, Hawaii, Manila, Siena"
https://www.goodreads.com/book/show/26032825-the-cruel-prince,26032825,The Cruel Prince,Holly Black,6428,70,4.1,35253,301528,370.0,2018,True,"Fantasy, Young Adult, Romance, Young Adult, Young Adult Fantasy, Fairies, Fae, Fiction, Fantasy, Magic, Audiobook, Paranormal, Fairies, Fantasy, Paranormal","Locus Award Nominee for Young Adult Book (2019), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2018), Lodestar Award Nominee (2019)",3,
https://www.goodreads.com/book/show/28009303-dodging-satan,28009303,"Dodging Satan: My Irish/Italian, Sometimes Awesome, But Mostly Creepy, Childhood",Kathleen Zamboni McCormick,6423,71,4.3,55,6389,191.0,2015,False,"Contemporary, Drama, Fiction, Book Club, Novels, Epic","International Rubery Book Award Nominee (2020), Independent Press Award for Humor & Wit (2020)",2,
https://www.goodreads.com/book/show/5932.Twenty_Love_Poems_and_a_Song_of_Despair,5932,Twenty Love Poems and a Song of Despair,Pablo Neruda,6420,94,4.26,2588,55567,60.0,1924,False,"Poetry, Classics, Romance, European Literature, Spanish Literature, Fiction, Cultural, Latin American, Literature, Literature, 20th Century, Literature, Latin American Literature, Nobel Prize",,0,
https://www.goodreads.com/book/show/249.Tropic_of_Cancer,249,Tropic of Cancer,Henry Miller,6416,89,3.67,3372,67140,318.0,1934,True,"Fiction, Classics, Literature, Novels, Literature, American, Adult Fiction, Erotica, Literature, Banned Books, Literature, 20th Century, Literary Fiction, Cultural, France",,0,"Paris, Montparnasse, Paris"
https://www.goodreads.com/book/show/32829.Journey_to_the_Center_of_the_Earth,32829,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",Jules Verne,6416,102,3.86,5862,162271,240.0,1864,False,"Classics, Science Fiction, Fiction, Adventure, Fantasy, Cultural, France, Literature, Novels, Audiobook, Literature, 19th Century",,0,"Hamburg, Reykjavik (Reykjavík), Snæfellsjökull, Inside Earth, Stromboli"
