url,book_id,title,author,good_read_score,good_read_votes,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,award_count,place
https://www.goodreads.com/book/show/40395.A_Princess_of_Mars,40395,A Princess of Mars,Edgar Rice Burroughs,1459,20,3.81,3640,52570,186.0,1912,True,"Science Fiction, Fantasy, Classics, Fiction, Adventure, Pulp, Science Fiction Fantasy, Romance, Audiobook, Novels",,0,"Barsoom, Venus, Mars, Arizona Territory"
https://www.goodreads.com/book/show/53773619-a-gallery-of-mothers,53773619,A Gallery of Mothers,J.S. Latshaw,1459,17,4.32,91,3579,,2020,True,"Epic, Contemporary, Drama, Fiction, Novels",,0,
https://www.goodreads.com/book/show/1358844.Remember_Me_,1358844,Remember Me?,Sophie Kinsella,1458,18,3.79,8021,226624,352.0,2008,False,"Womens Fiction, Chick Lit, Romance, Fiction, Contemporary, Adult, Humor, Romance, Contemporary Romance, Adult Fiction, Audiobook, European Literature, British Literature",,0,"London, England"
https://www.goodreads.com/book/show/13830.The_Woman_Who_Rides_Like_a_Man,13830,The Woman Who Rides Like a Man,Tamora Pierce,1458,22,4.14,1637,77887,284.0,1986,True,"Fantasy, Young Adult, Fiction, Fantasy, Magic, Adventure, Young Adult, Young Adult Fantasy, Fantasy, High Fantasy, Romance, Childrens, Childrens, Middle Grade",Margaret A. Edwards Award (2013),1,Tortall
https://www.goodreads.com/book/show/92967.L_Assommoir,92967,L'Assommoir,Émile Zola,1457,16,4.03,599,13446,480.0,1876,True,"Classics, Fiction, Cultural, France, European Literature, French Literature, Literature, 19th Century, Literature, Novels, Historical, Historical Fiction, Roman, Classics, Classic Literature",,0,"Paris, France"
https://www.goodreads.com/book/show/17383481-tail-of-the-devil,17383481,Tail of the Devil,Danielle DeVor,1457,16,4.03,27,205,230.0,2013,True,"Paranormal, Vampires, Young Adult, Fantasy, Thriller, Fantasy, Supernatural, Adventure, Fantasy, Magic, Young Adult, Teen, Fantasy, Paranormal, Horror",,0,
https://www.goodreads.com/book/show/8680278-we-ll-always-have-summer,8680278,We'll Always Have Summer,Jenny Han,1455,16,4.09,6927,97906,291.0,2011,True,"Young Adult, Romance, Contemporary, Fiction, Womens Fiction, Chick Lit, Realistic Fiction, Young Adult, Young Adult Contemporary, Young Adult, Young Adult Romance, Young Adult, Teen, Romance, Contemporary Romance",Goodreads Choice Award Nominee for Young Adult Fiction (2011),1,"Cousins Beach, North Carolina, North Carolina"
https://www.goodreads.com/book/show/136167.The_Other_Side_of_Midnight,136167,The Other Side of Midnight,Sidney Sheldon,1453,25,3.93,1091,43723,462.0,1973,True,"Fiction, Thriller, Mystery, Romance, Suspense, Thriller, Mystery Thriller, Novels, Mystery, Crime, Drama, Contemporary",,0,
https://www.goodreads.com/book/show/59980.Batman,59980,Batman: Year One,Frank Miller,1453,20,4.22,2986,212341,144.0,1987,True,"Sequential Art, Comics, Sequential Art, Graphic Novels, Dc Comics, Batman, Fiction, Superheroes, Dc Comics, Graphic Novels Comics, Comics, Comic Book, Comics, Superheroes, Mystery, Crime, Fantasy","Harvey Awards Nominee for Best Graphic Album, Best Colorist (for Richmond Lewis) & Special Award for Excellence in Presentation (for Richard Bruning) (1989)",2,Gotham City
https://www.goodreads.com/book/show/13595639-the-name-of-the-star,13595639,The Name of the Star,Maureen Johnson,1452,17,3.87,5224,51804,372.0,2011,True,"Young Adult, Mystery, Fantasy, Fantasy, Paranormal, Paranormal, Ghosts, Fiction, Horror, Fantasy, Supernatural, Historical, Historical Fiction, Fantasy, Urban Fantasy","Edgar Award Nominee for Best Young Adult (2012), Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011)",4,"London, England"
