url,book_id,title,award_count,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place
https://www.goodreads.com/book/show/17803.After_Dark,17803,After Dark,1,Haruki Murakami,3.71,117514,117514,191,2004,False,"Fiction, Cultural, Japan, Asian Literature, Japanese Literature, Magical Realism, Contemporary, Novels, Literature, Fantasy, Cultural, Asia, Literature, Asian Literature",International Dublin Literary Award Nominee (2009),Tokyo
https://www.goodreads.com/book/show/27208.The_Third_Policeman,27208,The Third Policeman,2,Flann O'Brien,4.0,16773,16773,200,1967,False,"Fiction, European Literature, Irish Literature, Cultural, Ireland, Fantasy, Classics, Humor, Novels, Literature, Mystery, Literature, 20th Century","Tähtivaeltaja Award (1989), Premi Llibreter de narrativa Nominee (2007)",Ireland
https://www.goodreads.com/book/show/284440.Skulduggery_Pleasant,284440,Skulduggery Pleasant,6,Derek Landy,4.13,57326,57326,392,2007,True,"Fantasy, Young Adult, Mystery, Fiction, Fantasy, Urban Fantasy, Fantasy, Magic, Adventure, Childrens, Middle Grade, Fantasy, Paranormal, Childrens","Mythopoeic Fantasy Award Nominee for Children's Literature (2008), Odyssey Award Nominee (2008), Red House Children's Book Award for Older Readers & Overall (2008), Bolton Children's Book Award (2008), California Young Readers Medal Nominee for Middle School/Junior High (2011), Carnegie Medal Nominee (2008)",Ireland
https://www.goodreads.com/book/show/15575.The_Sword_of_Shannara,15575,The Sword of Shannara,1,Terry Brooks,3.76,90879,90879,726,1977,True,"Fantasy, Fiction, Fantasy, Epic Fantasy, Science Fiction Fantasy, Young Adult, Fantasy, High Fantasy, Adventure, Fantasy, Magic, Childrens, Adult",Locus Award Nominee for Best Fantasy Novel (1978),
https://www.goodreads.com/book/show/133430.Centennial,133430,Centennial,0,James A. Michener,4.24,39748,39748,1056,1974,False,"Historical, Historical Fiction, Fiction, Historical, Westerns, Classics, Adventure, Epic, Novels, North American Hi..., American History, Literature",,"Centennial, Colorado"
https://www.goodreads.com/book/show/139069.Endurance,139069,Endurance: Shackleton's Incredible Voyage,1,Alfred Lansing,4.38,92255,92255,282,1959,False,"Nonfiction, History, Adventure, Biography, Travel, Audiobook, Adventure, Survival, Historical, Leadership, Environment, Nature",National Book Award Finalist for Nonfiction (1960),
https://www.goodreads.com/book/show/540020.The_Day_of_the_Jackal,540020,The Day of the Jackal,2,Frederick Forsyth,4.26,123074,123074,358,1971,False,"Fiction, Thriller, Mystery, Mystery, Crime, Spy Thriller, Espionage, Suspense, Historical, Historical Fiction, Drama, Thriller, Mystery Thriller, Novels","Martin Beck Award (1972), Edgar Award for Best Novel (1972)","France, Paris"
https://www.goodreads.com/book/show/8520610-quiet,8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,3,Susan Cain,4.06,347856,347856,352,2012,False,"Nonfiction, Psychology, Self Help, Science, Business, Audiobook, Self Help, Personal Development, Sociology, Leadership, Adult","Guardian First Book Award Nominee for Longlist (2012), Andrew Carnegie Medal Nominee for Nonfiction (Shortlist) (2015), Goodreads Choice Award for Nonfiction (2012)",
https://www.goodreads.com/book/show/30186948-think-and-grow-rich,30186948,Think and Grow Rich,0,Napoleon Hill,4.18,239091,239091,233,1937,False,"Business, Self Help, Nonfiction, Economics, Finance, Self Help, Personal Development, Psychology, Currency, Money, Finance, Personal Finance, Philosophy, Business, Entrepreneurship",,
https://www.goodreads.com/book/show/56759.The_Mayor_of_Casterbridge,56759,The Mayor of Casterbridge,0,Thomas Hardy,3.84,55543,55543,445,1886,False,"Classics, Fiction, Literature, Literature, 19th Century, European Literature, British Literature, Novels, Historical, Victorian, Historical, Historical Fiction, Classics, Classic Literature, Literary Fiction",,"United Kingdom, Wessex, England, Casterbridge, England"
